,city,lat,lng,country,Temperature (F),Cloudiness %,Wind Speed (mph),Humidity %
0,Västerås,59.63001528,16.54001339,Sweden,5,0,4.1,60
1,Cherkessk,44.29040895,42.06000606,Russia,0.94,12,1.34,100
2,Bontang,0.133259297,117.5000008,Indonesia,24.76,80,1.94,100
3,Rochester,44.02205324,-92.46968937,United States of America,3.38,90,4.1,32
4,Fresnillo,23.17043194,-102.8599854,Mexico,23,40,3.6,17
5,Khiwa,41.39112856,60.35573686,Uzbekistan,15,0,8.2,62
6,Sassari,40.73000612,8.57000891,Italy,11,0,3.1,66
7,Biak,-1.161493715,136.048481,Indonesia,25.14,44,1.46,100
8,Gera,50.87036908,12.07000199,Germany,7.83,0,3.1,70
9,National City,32.67194501,-117.09800520000002,United States of America,14.72,1,6.2,58
10,Drobeta-Turnu Severin,44.64589113,22.6658927,Romania,0.46,92,3.71,97
11,Schenectady,42.81458173,-73.93996769,United States of America,3.17,75,4.1,55
12,Assab,13.01001853,42.72999101,Eritrea,2.31,24,0.49,59
13,Taungoo,18.94828656,96.41792843,Myanmar,19.66,0,0.94,79
15,Punta Arenas,-53.16498615,-70.93999577,Chile,12,40,9.3,46
16,Malanje,-9.540000388,16.34002559,Angola,23.19,12,1.96,82
17,Bataysk,47.13682436,39.74485022,Russia,-7.74,8,1.29,67
18,Melilla,35.30000165,-2.950011435,Spain,29,40,5.1,70
19,Tarragona,41.12036989,1.249990599,Spain,11,40,1.11,76
20,Bandundu,-3.3099930630000003,17.37996212,Congo (Kinshasa),26.44,12,1.81,87
21,Mascara,35.40040895,0.14003251,Algeria,9.64,75,1.79,100
22,Laghouat,33.80998924,2.8800203030000002,Algeria,11,75,9.3,53
23,Vryheid,-27.76002521,30.7899963,South Africa,17.29,92,1.56,70
24,Phuket,7.876533426,98.3815295,Thailand,24.23,20,1.5,83
25,Daugavpils,55.87995994,26.50999914,Latvia,4.26,64,5.09,58
26,Dong Hoi,17.48333722,106.6000459,Vietnam,22.46,64,2.84,97
27,As Salt,32.03919293,35.72721431,Jordan,15,0,0.76,41
28,Nsukka,6.867034321,7.383362995,Nigeria,30.16,48,1.29,63
29,Fasa,28.97183494,53.67149369,Iran,18,0,2.1,27
30,Kecskemet,46.90004295,19.70002722,Hungary,5,90,2.1,65
31,Juba,4.8299751980000005,31.58002559,South Sudan,3,90,7.2,74
32,Nefteyugansk,61.07765301,72.70268347,Russia,-7,75,2,100
33,Siirt,37.94400007,41.93299858,Turkey,6.54,0,1.11,59
34,Girga,26.33036826,31.88000728,Egypt,19.01,0,2.79,33
35,Gharyan,32.17037355,13.01996985,Libya,17.39,0,7.14,23
36,Wilmington,39.74626772,-75.54689803,United States of America,4.66,75,6.2,52
37,Port Blair,11.66702557,92.73598262,India,28.94,20,4.71,100
38,Nusaybin,37.07498374,41.21835201,Turkey,12,0,2.6,46
39,Yala,6.550490335,101.28507320000001,Thailand,25.66,68,1.89,86
40,Samalut,28.30042889,30.71000118,Egypt,15.91,0,2.86,35
41,Erzincan,39.75264976,39.49277258,Turkey,11,40,1.5,40
42,Loja,-3.990003236,-79.21000777,Ecuador,19.46,32,0.89,83
43,Ash Shatrah,31.41752545,46.17722245,Iraq,24.36,0,1.21,32
44,Ciego de Avila,21.83999636,-78.76194727,Cuba,28.51,0,3.96,65
45,Maastricht,50.85299707,5.677002477,Netherlands,10.86,20,3.6,53
46,Yulin,38.28330792,109.73329140000001,China,4.96,8,3.94,69
47,Pindamonhangaba,-22.91995888,-45.47002588,Brazil,30,40,2.6,48
48,Besancon,47.22999697,6.03000891,France,7.92,0,1.5,81
49,Gilgit,35.91709576,74.30000199,Pakistan,-5.87,0,0.11,95
50,Shahrud,36.42287884,54.96288773,Iran,14.56,76,1.91,54
51,Gonaives,19.45042645,-72.68324854,Haiti,28.36,12,1.79,63
52,Tay Ninh,11.32299911,106.1469997,Vietnam,26.46,12,3.69,72
53,Kokshetau,53.29998822,69.41998979,Kazakhstan,-7.04,80,2.39,83
54,Pervouralsk,56.91002626,59.9550378,Russia,-5,40,3,79
55,Alexandria,38.82043276,-77.09998153,United States of America,23.72,90,3.6,69
57,Entebbe,0.060395527000000004,32.46002356,Uganda,24.21,0,1.79,94
58,Al Marj,32.50045677,20.82998409,Libya,14.26,0,0.79,47
59,Xai-Xai,-25.03998452,33.64000321,Mozambique,28.04,8,5.51,87
60,Jima,7.679982116000001,36.83004106,Ethiopia,31.89,68,1.16,60
61,Quchan,37.11182904,58.50148311,Iran,11.39,68,0.59,59
62,Treviso,45.67001467,12.24001745,Italy,8.66,0,2.1,61
63,Kolomna,55.07998293,38.78496049,Russia,3,0,4,40
64,Uppsala,59.86005292,17.63999792,Sweden,5.34,0,4.1,65
65,Pilibhit,28.63999473,79.81000159,India,17.54,0,0.84,73
66,Kumba,4.640374368,9.439981647,Cameroon,22.36,56,1.24,98
67,Oulu,64.99999758,25.47001094,Finland,-9,0,5.1,66
69,Phitsanulok,16.8283126,100.2728869,Thailand,22.39,36,1.51,97
70,Bratsk,56.15699729,101.6150272,Russia,-3,68,2,53
71,Caxias,-4.833000876,-43.35002608,Brazil,26,75,1.5,83
72,Saida,34.84039146,0.14003251,Algeria,8,75,4.59,100
73,Souk Ahras,36.29038047,7.949995075,Algeria,12,75,1.5,81
74,Lafayette,30.19997703,-92.01994938,United States of America,26.32,1,4.6,57
75,Melitopol,46.83782452,35.37746822,Ukraine,-8.44,0,1.21,87
76,Sarh,9.149969909,18.39002966,Chad,37,8,2.51,16
77,Bata,1.8700008330000002,9.769987344,Equatorial Guinea,26,75,2.6,100
79,Tiraspol,46.85309491,29.63998897,Moldova,0,0,3.6,80
80,Chincha Alta,-13.41960854,-76.13998845,Peru,26,0,3.1,65
81,San Francisco de Macoris,19.29999636,-70.25001205,Dominican Republic,27,40,2.6,57
82,Cajamarca,-7.150017071000001,-78.53002344,Peru,15,75,3.6,77
